title,combined
Black as Night,"a teenage girl with self-esteem issues finds confidence in the most unlikely way, by spending her summer battling vampires that prey on new orleans' disenfranchised with the help of her ...                see full summary » asjhacooper fabrizioguido masonbeauchamp maritteleego drama horror thriller"
Fear Street: 1666,the origins of sarah fier's curse are finally revealed as history comes full circle on a night that changes the lives of shadysiders forever. kianamadeira ashleyzukerman gillianjacobs leighjaniak horror mystery
The Witcher: Nightmare of the Wolf,"escaping from poverty to become a witcher, vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past. theojames marymcdonnell larapulver kwangilhan animation action adventure"
Judas and the Black Messiah,"offered a plea deal by the fbi, william o'neal infiltrates the illinois chapter of the black panther party to gather intelligence on chairman fred hampton. danielkaluuya lakeithstanfield jesseplemons shakaking biography drama history"
The Unholy,"a hearing-impaired girl is visited by the virgin mary and can suddenly hear, speak, and heal the sick. as people flock to witness her miracles, terrifying events unfold. are they the work of the virgin mary or something much more sinister? jeffreydeanmorgan cricketbrown williamsadler evanspiliotopoulos drama horror mystery"
Cosmic Sin,seven rogue soldiers launch a preemptive strike against a newly discovered alien civilization in the hopes of ending an interstellar war before it starts. frankgrillo brucewillis brandonthomaslee edwarddrake action adventure sciencefiction
Blood Red Sky,a woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight. peribaumeister carlantonkoch alexanderscheer peterthorwarth action horror thriller
Respect,"following the rise of aretha franklin's career from a child singing in her father's church's choir to her international superstardom, respect is the remarkable true story of the music icon's journey to find her voice. jenniferhudson forestwhitaker marlonwayans liesltommy biography drama music"
Rashmi Rocket,"this zee5 original film narrates the inspiring story of a small-town girl, who overcomes all societal barriers to become a national-level athlete, but her glory is hindered when she is asked to undergo a gender test. taapseepannu priyanshupainyuli supriyapathak akarshkhurana drama sport"
Demonic,a young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed. carlypope chriswilliammartin michaeljrogers neillblomkamp drama horror sciencefiction
Vengeance Is Mine,"harry, a broken man struggling to come to terms with the murder of his wife and daughter. when he discovers the whereabouts of the killers he awakens from his grief and filled with vengeance, seeks to destroy those who destroyed his life. mattbainbridge philipbulcock clintclarke hadihajaig action thriller"
The Marksman,a rancher on the arizona border becomes the unlikely defender of a young mexican boy desperately fleeing the cartel assassins who've pursued him into the u.s. katherynwinnick liamneeson teresaruiz robertlorenz action drama thriller
Midnight in the Switchgrass,an fbi agent and florida state officer team up to investigate a string of unsolved murder cases. emilehirsch meganfox brucewillis randallemmett action crime thriller
Tides,"set in the distant future, a female astronaut, shipwrecked on the long-decimated earth, must decide the fate of the wasteland's remaining populace. noraarnezeder iainglen sarah-sofieboussnina timfehlbaum sciencefiction thriller"
Jeepers Creepers: Reborn,"forced to travel with her boyfriend, laine, she begins to experience premonitions associated with the urban myth of the creeper. laine believes that something supernatural has been summoned - and that she is at the center of it all. gabrielfreilich timovuorensola horror mystery thriller"
The Dig,an archaeologist embarks on the historically important excavation of sutton hoo in 1938. careymulligan ralphfiennes lilyjames simonstone biography drama history
Coming Home in the Dark,a school teacher is forced to confront a brutal act from his past when a pair of ruthless drifters takes him and his family on a nightmare road-trip. danielgillies erikthomson miriamamcdowell jamesashcroft horror thriller
The Mitchells vs the Machines,"a quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope. abbijacobson dannymcbride mayarudolph michaelrianda,jeffrowe animation adventure comedy"
Suedi,"comedy about mahmod who wants to be seen as swedish - changes his name, gets volvo, blue contact lenses and a swedish wife. gustavabrahamsson hosamadinal-dousari smailalihodzic manuelconcha comedy drama"
The Secret of Sinchanee,"an industrial tow truck driver suffering from insomnia returns to his childhood home after the untimely death of his father, to discover that a paranormal presence has been living in the house and haunting the sacred land it was built on. lailalockhartkraner stevengrayhm rudyreyes stevengrayhm horror"
The Cleaner,a middle-aged house cleaner gets caught up in a violent crime after being hired to locate a client's estranged son. lyndacarter soleilmoonfrye lukewilson erinelders crime drama mystery
Mogadisyu,in 1991 war-torn somalia the personnel and the families of both the south korean and the north korean embassies have the same goal: to escape from mogadishu. kimyoon-seok in-sungjo joon-hohuh seung-wanryoo action drama thriller
Monster Family 2,"to free baba yaga and renfield from the clutches of monster hunter mila starr, the wishbone family once more transforms into a vampire, frankenstein's monster, a mummy and a werewolf. aided...                see full summary » danielbenzenou jessicabrownfindlay emilycarey holgertappe animation comedy family"
Barb and Star Go to Vista Del Mar,lifelong friends barb and star embark on the adventure of a lifetime when they decide to leave their small midwestern town for the first time - ever. kristenwiig anniemumolo jamiedornan joshgreenbaum comedy
Cherry,"cherry drifts from college dropout to army medic in iraq - anchored only by his true love, emily. but after returning from the war with ptsd, his life spirals into drugs and crime as he struggles to find his place in the world. tomholland ciarabravo jackreynor anthonyrusso,joerusso crime drama"
Beckett,"following a tragic car accident in greece, an american tourist finds himself at the center of a dangerous political conspiracy and on the run for his life. johndavidwashington boydholbrook vickykrieps ferdinandocitofilomarino action crime drama"
